didok;stationsbezeichnung;parkrail_anzahl;parkrail_preis_tag;parkrail_preis_monat;parkrail_preis_jahr;parkrail_pflichtig_zeit1;parkrail_pflichtig_zeit2;parkrail_pflichtig_zeit3;parkrail_bemerkung;railtaxitext;railtaxiinfo;mietvelo_bezeichnung;mietvelo_anzahl;mietvelo_bemerkung;veloparking_status_d;veloparking_bemerkung_d;veloparking_abschliessbar;veloparking_abschliessbar_text;carsharing standort_bezeichnung;parkrail_App;parkrail_Webshop;parkrail_Lokal;BPUIC;Name Haltestelle;lod;geopos;plz;meteo;tu-nummer;Abkuerzung Bahnhof
2010;St. Erhard-Knutwil;8.0;4.0;40.0;400.0;;;;;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;;1;0;1;8502010;St Erhard-Knutwil;http://lod.opentransportdata.swiss/didok/8502010;47.1800819119,8.07458153471;6212;https://meteo.sbb.ch/?didok=8502010;11;STER
2011;Oberkirch;3.0;0.0;0.0;0.0;;;;;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;Oberkirch Bahnhof;0;0;0;8502011;Oberkirch LU;http://lod.opentransportdata.swiss/didok/8502011;47.1552376224,8.11423445965;6208;https://meteo.sbb.ch/?didok=8502011;11;OBK
2012;Rothenburg Dorf;5.0;5.0;50.0;500.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;;1;1;1;8502012;Rothenburg Dorf;http://lod.opentransportdata.swiss/didok/8502012;47.0909099788,8.27319059247;6020;https://meteo.sbb.ch/?didok=8502012;11;RBGD
2017;Waldibrücke;12.0;5.0;50.0;500.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;;1;1;1;8502017;Waldibrücke;http://lod.opentransportdata.swiss/didok/8502017;47.1078993429,8.31971009182;6032;https://meteo.sbb.ch/?didok=8502017;11;WAB
2019;Ermensee;;;;;;;;;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;;;;;8502019;Ermensee;http://lod.opentransportdata.swiss/didok/8502019;47.2296906158,8.24231442358;6294;https://meteo.sbb.ch/?didok=8502019;11;ESEE
2020;Rothenburg;17.0;4.0;40.0;400.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;;1;1;1;8502020;Rothenburg;http://lod.opentransportdata.swiss/didok/8502020;47.0891836745,8.24756144538;6023;https://meteo.sbb.ch/?didok=8502020;11;RBG
2021;Emmenbrücke;89.0;6.0;60.0;600.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;Emmenbrücke Bahnhof;1;1;1;8502021;Emmenbrücke;http://lod.opentransportdata.swiss/didok/8502021;47.0706014997,8.28256536801;6020;https://meteo.sbb.ch/?didok=8502021;11;EBR
2022;Eschenbach;;;;;;;;;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;Eschenbach Bahnhofstrasse;;;;8502022;Eschenbach LU;http://lod.opentransportdata.swiss/didok/8502022;47.1323959998,8.3227907318;6274;https://meteo.sbb.ch/?didok=8502022;11;ESB
2023;Ballwil;37.0;4.0;40.0;400.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;;1;1;1;8502023;Ballwil;http://lod.opentransportdata.swiss/didok/8502023;47.1537676553,8.31689880205;6275;https://meteo.sbb.ch/?didok=8502023;11;BLL
2024;Hochdorf;28.0;5.0;50.0;500.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;Hochdorf Bahnhof;1;1;1;8502024;Hochdorf;http://lod.opentransportdata.swiss/didok/8502024;47.1669751887,8.28869962431;6280;https://meteo.sbb.ch/?didok=8502024;11;HO
2025;Baldegg;7.0;4.0;40.0;400.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;;1;0;1;8502025;Baldegg;http://lod.opentransportdata.swiss/didok/8502025;47.1856889592,8.28023150834;6283;https://meteo.sbb.ch/?didok=8502025;11;BLG
2026;Gelfingen;;;;;;;;;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;;;;;8502026;Gelfingen;http://lod.opentransportdata.swiss/didok/8502026;47.2135590388,8.26482492435;6284;https://meteo.sbb.ch/?didok=8502026;11;GELF
